  137    0.38552E+04    0.10641E+01    0.65326E-02   -0.41803E+02
  138    0.38894E+04    0.10651E+01    0.66347E-02   -0.42094E+02
  139    0.39234E+04    0.10656E+01    0.67379E-02   -0.42367E+02
  140    0.39574E+04    0.10657E+01    0.68420E-02   -0.42620E+02
  141    0.39913E+04    0.10653E+01    0.69472E-02   -0.42853E+02
  142    0.40251E+04    0.10644E+01    0.70534E-02   -0.43065E+02
  143    0.40588E+04    0.10631E+01    0.71606E-02   -0.43256E+02
  144    0.40923E+04    0.10613E+01    0.72689E-02   -0.43427E+02
  145    0.41257E+04    0.10591E+01    0.73782E-02   -0.43575E+02
  146    0.41589E+04    0.10564E+01    0.74885E-02   -0.43701E+02
  147    0.41920E+04    0.10532E+01    0.75999E-02   -0.43804E+02
  148    0.42249E+04    0.10496E+01    0.77123E-02   -0.43884E+02
  149    0.42576E+04    0.10456E+01    0.78258E-02   -0.43941E+02
  150    0.42901E+04    0.10411E+01    0.79403E-02   -0.43973E+02
  151    0.43224E+04    0.10362E+01    0.80559E-02   -0.43981E+02
  152    0.43545E+04    0.10308E+01    0.81725E-02   -0.43964E+02
  153    0.43864E+04    0.10251E+01    0.82903E-02   -0.43922E+02
  154    0.44180E+04    0.10189E+01    0.84091E-02   -0.43856E+02
  155    0.44494E+04    0.10124E+01    0.85289E-02   -0.43765E+02
  156    0.44805E+04    0.10055E+01    0.86499E-02   -0.43648E+02
  157    0.45114E+04    0.99830E+00    0.87719E-02   -0.43506E+02
  158    0.45420E+04    0.99077E+00    0.88950E-02   -0.43339E+02
  159    0.45724E+04    0.98294E+00    0.90192E-02   -0.43147E+02
  160    0.46024E+04    0.97483E+00    0.91444E-02   -0.42929E+02
  161    0.46322E+04    0.96645E+00    0.92708E-02   -0.42685E+02
  162    0.46617E+04    0.95783E+00    0.93982E-02   -0.42415E+02
  163    0.46909E+04    0.94898E+00    0.95268E-02   -0.42120E+02
  164    0.47197E+04    0.93992E+00    0.96564E-02   -0.41798E+02
  165    0.47483E+04    0.93067E+00    0.97871E-02   -0.41451E+02
  166    0.47765E+04    0.92125E+00    0.99188E-02   -0.41077E+02
  167    0.48044E+04    0.91167E+00    0.10052E-01   -0.40677E+02
  168    0.48319E+04    0.90196E+00    0.10186E-01   -0.40250E+02
  169    0.48591E+04    0.89212E+00    0.10321E-01   -0.39797E+02
  170    0.48859E+04    0.88219E+00    0.10457E-01   -0.39317E+02
  171    0.49124E+04    0.87218E+00    0.10594E-01   -0.38810E+02
  172    0.49385E+04    0.86210E+00    0.10732E-01   -0.38276E+02
  173    0.49642E+04    0.85197E+00    0.10872E-01   -0.37716E+02
  174    0.49895E+04    0.84182E+00    0.11012E-01   -0.37128E+02
  175    0.50145E+04    0.83165E+00    0.11153E-01   -0.36513E+02
  176    0.50390E+04    0.82150E+00    0.11296E-01   -0.35871E+02
  177    0.50631E+04    0.81139E+00    0.11440E-01   -0.35201E+02
  178    0.50868E+04    0.80136E+00    0.11584E-01   -0.34504E+02
  179    0.51100E+04    0.79145E+00    0.11730E-01   -0.33781E+02
  180    0.51329E+04    0.78169E+00    0.11877E-01   -0.33031E+02
  181    0.51552E+04    0.77211E+00    0.12024E-01   -0.32254E+02
  182    0.51772E+04    0.76276E+00    0.12173E-01   -0.31451E+02
  183    0.51986E+04    0.75366E+00    0.12323E-01   -0.30622E+02
  184    0.52196E+04    0.74486E+00    0.12474E-01   -0.29767E+02
  185    0.52401E+04    0.73638E+00    0.12626E-01   -0.28885E+02
  186    0.52602E+04    0.72828E+00    0.12778E-01   -0.27979E+02
  187    0.52797E+04    0.72057E+00    0.12932E-01   -0.27046E+02
  188    0.52987E+04    0.71329E+00    0.13087E-01   -0.26089E+02
  189    0.53173E+04    0.70649E+00    0.13243E-01   -0.25106E+02
  190    0.53353E+04    0.70020E+00    0.13400E-01   -0.24098E+02
  191    0.53528E+04    0.69445E+00    0.13557E-01   -0.23066E+02
  192    0.53697E+04    0.68928E+00    0.13716E-01   -0.22008E+02
  193    0.53861E+04    0.68472E+00    0.13875E-01   -0.20926E+02
  194    0.54020E+04    0.68081E+00    0.14036E-01   -0.19820E+02
  195    0.54173E+04    0.67758E+00    0.14197E-01   -0.18690E+02
  196    0.54320E+04    0.67508E+00    0.14360E-01   -0.17536E+02
  197    0.54462E+04    0.67333E+00    0.14523E-01   -0.16358E+02
  198    0.54597E+04    0.67238E+00    0.14687E-01   -0.15156E+02
  199    0.54727E+04    0.67225E+00    0.14852E-01   -0.13931E+02
  200    0.54851E+04    0.67298E+00    0.15018E-01   -0.12682E+02
  201    0.54969E+04    0.67462E+00    0.15184E-01   -0.11410E+02
  202    0.55081E+04    0.67718E+00    0.15352E-01   -0.10116E+02
  203    0.55186E+04    0.68070E+00    0.15520E-01   -0.88007E+01
  204    0.55286E+04    0.68522E+00    0.15689E-01   -0.74638E+01
  205    0.55380E+04    0.69077E+00    0.15859E-01   -0.61065E+01
  206    0.55467E+04    0.69737E+00    0.16029E-01   -0.47296E+01
